동,x,y,addr,src
문래동6가,126.88910705848515,37.51956620529148,서울 영등포구 문래동6가 5,keyword
신길동,126.911840808155,37.5107384081464,서울 영등포구 신길동,keyword
양평동2가,126.8854884565414,37.52321631707584,서울 영등포구 양평동2가 29-23,keyword
양평동5가,126.89268548684787,37.53818960363232,서울 영등포구 양평동5가 27,keyword
여의도동,126.947545050571,37.5250892160129,서울 영등포구 여의도동,keyword
문래동4가,126.88837200148356,37.515623624792724,서울 영등포구 문래동4가 28-3,keyword
양평동1가,126.889929491751,37.5233773137847,서울 영등포구 양평동1가 132-1,keyword
양평동3가,126.892154064398,37.5277185907169,서울 영등포구 양평동3가 65,keyword
양평동4가,126.894455905878,37.5384272611837,서울 영등포구 양평동4가 202-1,keyword
양평동6가,126.889963751999,37.5400999212869,서울 영등포구 양평동6가 1,keyword
영등포동,126.90299334402,37.51711057944,서울 영등포구 영등포동4가 442,keyword
영등포동8가,126.904607475753,37.5277923761476,서울 영등포구 영등포동8가 62-1,keyword
문배동,126.96897220078,37.5340671605018,서울 용산구 문배동 37-2,keyword
산천동,126.953169916211,37.5356783467356,서울 용산구 산천동 199,keyword
신계동,126.967011899742,37.5356523905239,서울 용산구 신계동 56,keyword
원효로1가,126.969476804566,37.5396318708232,서울 용산구 원효로1가 44-11,keyword
이촌동,126.95803386590158,37.51766013568054,서울 용산구 이촌동 302-146,keyword
한강로1가,126.974131256218,37.5345765677564,서울 용산구 한강로1가 142-3,keyword
영등포동1가,126.90928157127733,37.51699304011284,서울 영등포구 영등포동1가 143-3,keyword
영등포동2가,126.909125003169,37.5192454274043,서울 영등포구 영등포동2가 332-3,keyword
영등포동3가,126.906167420489,37.5179672946154,서울 영등포구 영등포동3가 9-2,keyword
영등포동4가,126.90299334402,37.51711057944,서울 영등포구 영등포동4가 442,keyword
영등포동5가,126.90779104096255,37.5194840602836,서울 영등포구 영등포동5가 6-1,keyword
영등포동7가,126.90873173808177,37.52264190406832,서울 영등포구 영등포동7가 203,keyword
갈월동,126.97223970207321,37.54630715713435,서울 용산구 갈월동 14-60,keyword
도원동,126.9553158164153,37.53829748535028,서울 용산구 도원동 23,keyword
동빙고동,126.996194540442,37.5221563270773,서울 용산구 동빙고동 62,keyword
동자동,126.97200477214717,37.55420255074633,서울 용산구 동자동 43-205,keyword
보광동,126.999873285391,37.5320818261115,서울 용산구 한남동 763-7,keyword
서빙고동,126.994140477461,37.5189378603736,서울 용산구 서빙고동 287-4,keyword
신창동,126.9548964362826,37.53576010881851,서울 용산구 신창동 56-1,keyword
용문동,126.95838084761,37.536500208656,서울 용산구 용문동 107,keyword
용산동2가,126.98820799353979,37.55127433407266,서울 용산구 용산동2가 산 1-3,keyword
용산동5가,126.97165764516974,37.52947182820282,서울 용산구 용산동5가 2-5,keyword
원효로2가,126.96355860133596,37.535982943617945,서울 용산구 원효로2가 36,keyword
원효로3가,126.95992722803369,37.53496093347833,서울 용산구 원효로3가 46-1,keyword
원효로4가,126.951937930622,37.5336866401257,서울 용산구 원효로4가 87-2,keyword
이태원동,126.991721972247,37.5397580614249,서울 용산구 이태원동 210-5,keyword
주성동,126.999606324649,37.5235114956886,서울 용산구 보광동 168-4,keyword
청암동,126.94728086026,37.5339837852828,서울 용산구 청암동 169,keyword
청파동1가,126.970677914288,37.546782507101,서울 용산구 청파동1가 180-36,keyword
청파동3가,126.96937985922652,37.544277400054646,서울 용산구 청파동3가 29-14,keyword
한강로2가,126.972204479602,37.5314514583385,서울 용산구 한강로2가 412,keyword
한남동,127.001588561792,37.5369688440826,서울 용산구 한남동,keyword
효창동,126.961481008759,37.5453058307573,서울 용산구 효창동 255,keyword
후암동,126.981889913806,37.5464459833497,서울 용산구 후암동,keyword
구산동,126.901126884489,37.6130695917758,서울 은평구 구산동 산 136-2,keyword
녹번동,126.941391078938,37.6057867317111,서울 은평구 녹번동 1-1,keyword
불광동,126.93626843562683,37.62612118319853,서울 은평구 불광동,keyword
수색동,126.898090396473,37.5873121971625,서울 은평구 수색동 산 21-1,keyword
한강로3가,126.965503343155,37.5290530271745,서울 용산구 한강로3가 40-999,keyword
갈현동,126.919596892691,37.6188202127991,서울 은평구 갈현동 398-11,keyword
대조동,126.92918154846974,37.60947048970448,서울 은평구 대조동 240,keyword
역촌동,126.91663596163,37.6087378991563,서울 은평구 역촌동 8-12,keyword
응암동,126.917157976882,37.5873667630032,서울 은평구 응암동 602-17,keyword
증산동,126.913416327241,37.5880632478519,서울 은평구 응암동,keyword
진관동,126.94056877482242,37.64292139966376,서울 은평구 진관동,keyword
내수동,126.97328151811782,37.572737243349636,서울 종로구 내수동 167,keyword
무악동,126.95912491582666,37.57871489294051,서울 종로구 무악동 산 3-12,keyword
숭인동,127.018256913085,37.5731262830049,서울 종로구 숭인동 238-1,keyword
익선동,126.989775723896,37.5734371942191,서울 종로구 익선동,keyword
효제동,127.003952922261,37.5726446952293,서울 종로구 효제동 155,keyword
만리동1가,126.968573895548,37.5557487004694,서울 중구 남대문로5가 67-4,keyword
만리동2가,126.964852835967,37.5555458279812,서울 중구 만리동2가 6-1,keyword
신당동,127.014609897994,37.5630320348009,서울 중구 신당동 302-30,keyword
충무로4가,126.995719421801,37.5617714659416,서울 중구 충무로4가 305-11,keyword
견지동,126.982621347179,37.5738688353359,서울 종로구 견지동 46-1,keyword
교남동,126.96346810881765,37.573031041794664,서울 종로구 행촌동 1-89,keyword
교북동,126.96303381875686,37.56993598828677,서울 종로구 홍파동 199,keyword
누상동,126.96097452375479,37.57913628309314,서울 종로구 누상동,keyword
당주동,126.972728383217,37.5716108730471,서울 종로구 당주동 100-6,keyword
동숭동,127.007408659153,37.5816472642184,서울 종로구 동숭동 산 2-32,keyword
명륜1가,126.999628631744,37.5876048630357,서울 종로구 명륜1가 36-1,keyword
명륜2가,126.99984149795074,37.583458493533186,서울 종로구 명륜2가 41-9,keyword
명륜3가,126.995896931187,37.5858280343867,서울 종로구 명륜3가 53,keyword
사직동,126.96853671631679,37.56880593279047,서울 종로구 신문로2가 7-22,keyword
신문로1가,126.972404105243,37.5699854022246,서울 종로구 신문로1가 5-4,keyword
신영동,126.959697118686,37.6008858079759,서울 종로구 신영동 168-6,keyword
연건동,126.998985654337,37.5784868058251,서울 종로구 연건동 28-21,keyword
옥인동,126.95784443609999,37.58489976333122,서울 종로구 옥인동 산 3-39,keyword
인의동,126.99709076996926,37.572799696703164,서울 종로구 인의동 112-1,keyword
창신동,127.00876933152875,37.5803857797556,서울 종로구 창신동 615-62,keyword
청운동,126.966511201027,37.5926312540331,서울 종로구 청운동 산 1-1,keyword
